	aglycon1	aglycon2	tanimoto_index	taxonomy1	taxonomy2	tax1_as_value	tax2_as_value
0	OC1CC2C3(C)CC4OC(OC)CC(C)C4C3(C)CCC52CC65CCC(O)C(C)(C)C16	OC1CC2C3(C)CC4OC(OCC)CC(C)C4C3(C)CCC52CC65CCC(O)C(C)(C)C16	0.9222222222222223	{'no'}	{'no'}	1	1
1	OC1CC2C3(C)CC4OC(OC)CC(C)C4C3(C)CCC52CC65CCC(O)C(C)(C)C16	OC1CC2C(C)(C)C(O)CCC32CC43CCC5(C)C6C(OC(OC)CC6C)CC5(C)C14	1.0	{'no'}	{'no'}	1	1
2	O=C(O)C1N(C(=O)C=CC2=CC=C(O)C(=C2)CC=3NC=NC3CC)C4=CC(O)=C(O)C=C4C1CC56C=7C=CC=CC7NCC6CCCC5	O=C(O)C1N(C(=O)C=CC2=CC=C(O)C(=C2)CC3=CN=CN3)C4=CC(O)=C(O)C=C4C1CC56C=7C=CC=CC7NCC6CCCC5	0.9078014184397163	{'no'}	{'no'}	1	1
3	OCC(=C)CCC1(O)OC2CC3C4CCC5CC(O)CC(O)C5(C)C4CCC3(C)C2C1C	OCC(=C)CCC1(O)OC2CC3C4CCC5CC(O)CCC5(C)C4CC(O)C3(C)C2C1C	0.9555555555555556	{'no'}	{'no'}	1	1
4	OC(=C1NC(=CC1=C)C(C)C2CCCCC2)CCCO	OC(=C1NC(=CC1=C)C(C)C2CCCC2)CCCO	0.9464285714285714	{'plants'}	{'plants'}	2	2
5	OC1=CC=C2C(OC3C4=CC=C(OC)C(O)=C4OCC23)=C1	OC1=CC=C2C(OCC3C4=CC=C(OC)C(O)=C4OC23)=C1	1.0	{'no'}	{'no'}	1	1
6	OC1OC23CCC4(C)C5CCC(O)C(C)(C)C5CCC4(C)C3(C)CC(O)C16C(O)CC(C)(C)CC26	OC1OC23CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC(O)C16C(O)CC(C)(C)CC26	0.9381443298969072	{'no'}	{'no'}	1	1
7	OC=1C=C(O)C=2C=C(O)C(=[O+]C2C1)C=3C=CC(OC)=C(O)C3	OC=1C=C(O)C=2C=C(O)C(=[O+]C2C1)C=3C=CC(O)=C(OC)C3	0.9365079365079365	{'no'}	{'plants'}	1	2
8	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6CC(=O)NC6C(C=7N=CNC7)CCCN)C45C)C3(C)C(CC)C1	O=C(O)C12CC3CCCC2CC(C)(CO)CC1C4=CCC5C(C)(CCC6C(C)(CO)C(O)C(O)C(CC7CC(=O)NC7C(C=8N=CNC8)CCCN)C56C)C43C	0.9125	{'no'}	{'no'}	1	1
9	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6CC(=O)NC6C(C=7N=CNC7)CCCN)C45C)C3(C)C(CC)C1	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6CC(=O)NC6C(C=7N=CNC7)CCCN)C45C)C3(C)C(CCCCC)C1	0.9316770186335404	{'no'}	{'no'}	1	1
10	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6CC(=O)NC6C(C=7N=CNC7)CCCN)C45C)C3(C)C(CC)C1	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6CC(=O)NC6C(C=7N=CNC7)CCCN)C45C)C3(C)CC1	0.9285714285714286	{'no'}	{'no'}	1	1
11	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6CC(=O)NC6C(C=7N=CNC7)CCCN)C45C)C3(C)C(CC)C1	O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(O)C(O)C(CC6C(C(=O)NC6C(C=7N=CNC7)CCCN)CO)C45C)C3(C)C(CC)C1	0.91875	{'no'}	{'no'}	1	1
12	O=C(OC)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OC4C(OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C4OC(=O)C7=CC(O)=C(O)C(O)=C7)COC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O	O=C(OC1OC2COC(=O)C=3C=C(O)C(O)=C(O)C3C4=C(O)C(O)=C(OC5=CC(O)=C(O)C(O)=C5C(=O)OC)C=C4C(=O)OC2C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C1OC(=O)C7=CC(O)=C(O)C(O)=C7)C8=CC(O)=C(O)C(O)=C8	0.9636363636363636	{'no'}	{'plants'}	1	2
13	O=C(OC)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OC4C(OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C4OC(=O)C7=CC(O)=C(O)C(O)=C7)COC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O	O=CC1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OCC4OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)C4OC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O	0.9497716894977168	{'no'}	{'no'}	1	1
14	O=C(OC)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OC4C(OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C4OC(=O)C7=CC(O)=C(O)C(O)=C7)COC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O	O=C(OC)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OCC4OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C(OC(=O)C7=CC(O)=C(O)C(O)=C7)C4OC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O	1.0	{'no'}	{'plants'}	1	2
15	O=C(OC)C1=CC(O)=C(O)C(O)=C1OC=2C=C3C(=O)OC4C(OC(OC(=O)C5=CC(O)=C(O)C(O)=C5)C(OC(=O)C6=CC(O)=C(O)C(O)=C6)C4OC(=O)C7=CC(O)=C(O)C(O)=C7)COC(=O)C=8C=C(O)C(O)=C(O)C8C3=C(O)C2O	O=C(OC)C1=CC(O)=C(O)C(O)=C1OC2=CC(=CC(O)=C2O)C(=O)OC3OC4COC(=O)C=5C=C(O)C(O)=C(O)C5C6=C(O)C(O)=C(O)C=C6C(=O)OC4C(OC(=O)C7=CC(O)=C(O)C(O)=C7)C3OC(=O)C8=CC(O)=C(O)C(O)=C8	1.0	{'no'}	{'no'}	1	1
